id_libro,name,price,descr_short,descr_full,brand,barcode,image,features
0,SanFrutos Vikingathor Boris Brew,3.35,Indian Dunkel,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.

",Cerveza Sanfrutos,831,https://www.labirratorium.com/27941-large_default/arriaca-boris-brew-vikingathor-.jpg,"{'Estilo': 'DUNKEL', 'Origen': 'Segovia', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '8.2', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'IBU': '50-75 Amargor alto', 'IBU Exacto': '75', 'Color': 'Marrón', 'Envase': 'Botella'}"
1,"Boon Oude Kriek 37,5cl",7.15,Lambic / Kriek,"Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",Brouwerij F. Boon,284,https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg,"{'Estilo': 'KRIEK', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '6.5', 'Otros ingredientes': 'Cerezas Naturales', 'Volumen (cl)': '37.5 Cl', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Rojiza', 'Envase': 'Botella', 'OLD-REF': '5412783053220'}"
2,Augustiner Lagerbier Hell,2.75,Lager / Helles,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",Augustiner,184,https://www.labirratorium.com/367-large_default/augustiner-lagerbier-hell.jpg,"{'Estilo': 'MUNICH HELLES', 'Origen': 'Alemania', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '5.2', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '12', 'Color': 'Amarillo pálido', 'Envase': 'Botella', 'OLD-REF': '4105250022003'}"
3,Schneider Aventinus Weizen-Eisbock,2.85,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada. ","Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada. ",Schneider,183,https://www.labirratorium.com/366-large_default/schneider-eisbock.jpg,"{'Origen': 'Alemania', '% Alc. Exacto': '12', 'Volumen (cl)': '33', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'IBU': '0-25 Amargor bajo', 'OLD-REF': '4003669018269'}"
4,Aecht Schlenkerla Rauchbier Weizen,2.7,,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar. ",Schlenkerla,181,https://www.labirratorium.com/364-large_default/schlenkerla-rauchbier-weizen.jpg,"{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '5.2', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Trigo  y Cebada', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '20', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '4037458000159'}"
5,Samuel Adams Boston Lager,2.45,Cerveza de baja fermentación (Lager) de color ambarino y suave.,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final. ",Samuel Adams,173,https://www.labirratorium.com/343-large_default/samuel-adams-boston-lager.jpg,"{'Estilo': 'AMERICAN LAGER', 'Origen': 'EEUU', '% Alc.': 'MEDIO (4-6%)', '% Alc. Exacto': '4.8', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Samuel Adams lager', 'Maltas': 'Samuel Adams two-row pale malt blend y Caramel 60', 'Lúpulos': 'Hallertau Mittelfrueh y Tettnang Tettnanger Noble hops', 'IBU': '25-50 Amargor medio', 'IBU Exacto': '30', 'Color': 'Ámbar', 'Envase': 'Botella', 'OLD-REF': '5012686070005'}"
6,Westmalle Dubbel,2.5,Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",Van Westmalle,82,https://www.labirratorium.com/102-large_default/westmalle-dubbel.jpg,"{'Estilo': 'DUBBEL', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '7', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n25-50 Amargor medio', 'IBU Exacto': '24', 'Color': 'Marrón', 'Envase': 'Botella', 'OLD-REF': '5412343152332'}"
7,Duchesse De Bourgogne,2.95,Oud Bruin/ Flanders Red Ale,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",Verhaeghe,75,https://www.labirratorium.com/12300-large_default/duchesse-de-bourgogne.jpg,"{'Estilo': 'FLANDERS RED ALE\nOUD BRUIN\nOud Bruin / Franders Red Ale', 'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '6.2', 'Volumen (cl)': '25 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Ámbar', 'Envase': 'Botella', 'OLD-REF': '5411364151119'}"
8,Tripel Karmeliet 33 cl.,2.7,Tripel,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.
",Brouwerij Bosteels (AB InBev),61,https://www.labirratorium.com/81-large_default/tripel-karmeliet33.jpg,"{'Origen': 'Bélgica', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '8.4', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada, Avena y Trigo', 'IBU': '0-25 Amargor bajo', 'IBU Exacto': '16', 'Color': 'Amarillo pálido', 'Envase': 'Botella', 'OLD-REF': '54050082'}"
9,Weihenstephaner Vitus,2.95,Weizenbock,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",Weihenstephan,21,https://www.labirratorium.com/43-large_default/weihenstephaner-vitus.jpg,"{'Estilo': 'TRIGO ALEMÁN (WEIZENDOPPELBOCK)', 'Origen': 'Alemania', '% Alc.': 'ALTO (6-9%)', '% Alc. Exacto': '7,7', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Trigo y Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Amarillo dorado', 'Envase': 'Botella', 'OLD-REF': '4105120004108'}"
